,postseason,home_team_score,visitor_team_score,home_win,home_name,visitor_name,home_abbrev,visitor_abbrev,home_avg_points,home_avg_points_allowed,home_avg_difference,home_wins_percent,away_avg_points,away_avg_points_allowed,away_avg_difference,away_wins_percent,date
0,False,125,124,1,Oklahoma City Thunder,Houston Rockets,OKC,HOU,125.0,124.0,1.0,1.0,124.0,125.0,-1.0,0.0,2025-10-21
1,False,109,119,0,Los Angeles Lakers,Golden State Warriors,LAL,GSW,109.0,119.0,-10.0,0.0,119.0,109.0,10.0,1.0,2025-10-21
2,False,119,111,1,New York Knicks,Cleveland Cavaliers,NYK,CLE,119.0,111.0,8.0,1.0,111.0,119.0,-8.0,0.0,2025-10-22
3,False,92,125,0,Dallas Mavericks,San Antonio Spurs,DAL,SAS,92.0,125.0,-33.0,0.0,125.0,92.0,33.0,1.0,2025-10-22
4,False,136,117,1,Charlotte Hornets,Brooklyn Nets,CHA,BKN,136.0,117.0,19.0,1.0,117.0,136.0,-19.0,0.0,2025-10-22
5,False,125,121,1,Orlando Magic,Miami Heat,ORL,MIA,125.0,121.0,4.0,1.0,121.0,125.0,-4.0,0.0,2025-10-22
6,False,118,138,0,Atlanta Hawks,Toronto Raptors,ATL,TOR,118.0,138.0,-20.0,0.0,138.0,118.0,20.0,1.0,2025-10-22
7,False,116,117,0,Boston Celtics,Philadelphia 76ers,BOS,PHI,116.0,117.0,-1.0,0.0,117.0,116.0,1.0,1.0,2025-10-22
8,False,115,111,1,Chicago Bulls,Detroit Pistons,CHI,DET,115.0,111.0,4.0,1.0,111.0,115.0,-4.0,0.0,2025-10-22
9,False,128,122,1,Memphis Grizzlies,New Orleans Pelicans,MEM,NOP,128.0,122.0,6.0,1.0,122.0,128.0,-6.0,0.0,2025-10-22
10,False,133,120,1,Milwaukee Bucks,Washington Wizards,MIL,WAS,133.0,120.0,13.0,1.0,120.0,133.0,-13.0,0.0,2025-10-22
11,False,129,108,1,Utah Jazz,LA Clippers,UTA,LAC,129.0,108.0,21.0,1.0,108.0,129.0,-21.0,0.0,2025-10-22
12,False,120,116,1,Phoenix Suns,Sacramento Kings,PHX,SAC,120.0,116.0,4.0,1.0,116.0,120.0,-4.0,0.0,2025-10-22
13,False,114,118,0,Portland Trail Blazers,Minnesota Timberwolves,POR,MIN,114.0,118.0,-4.0,0.0,118.0,114.0,4.0,1.0,2025-10-22
14,False,135,141,0,Indiana Pacers,Oklahoma City Thunder,IND,OKC,135.0,141.0,-6.0,0.0,125.0,124.0,1.0,1.0,2025-10-23
15,False,137,131,1,Golden State Warriors,Denver Nuggets,GSW,DEN,119.0,109.0,10.0,1.0,131.0,137.0,-6.0,0.0,2025-10-23
16,False,105,95,1,New York Knicks,Boston Celtics,NYK,BOS,119.0,111.0,8.0,1.0,116.0,117.0,-1.0,0.0,2025-10-24
17,False,128,110,1,Los Angeles Lakers,Minnesota Timberwolves,LAL,MIN,109.0,119.0,-10.0,0.0,118.0,114.0,4.0,1.0,2025-10-24
18,False,107,111,0,Orlando Magic,Atlanta Hawks,ORL,ATL,125.0,121.0,4.0,1.0,118.0,138.0,-20.0,0.0,2025-10-24
19,False,124,131,0,Brooklyn Nets,Cleveland Cavaliers,BKN,CLE,117.0,136.0,-19.0,0.0,111.0,119.0,-8.0,0.0,2025-10-24
20,False,116,122,0,Toronto Raptors,Milwaukee Bucks,TOR,MIL,138.0,118.0,20.0,1.0,133.0,120.0,13.0,1.0,2025-10-24
21,False,111,115,0,Houston Rockets,Detroit Pistons,HOU,DET,124.0,125.0,-1.0,0.0,111.0,115.0,-4.0,0.0,2025-10-24
22,False,114,146,0,Memphis Grizzlies,Miami Heat,MEM,MIA,128.0,122.0,6.0,1.0,121.0,125.0,-4.0,0.0,2025-10-24
23,False,116,120,0,New Orleans Pelicans,San Antonio Spurs,NOP,SAS,122.0,128.0,-6.0,0.0,125.0,92.0,33.0,1.0,2025-10-24
24,False,107,117,0,Dallas Mavericks,Washington Wizards,DAL,WAS,92.0,125.0,-33.0,0.0,120.0,133.0,-13.0,0.0,2025-10-24
25,False,139,119,1,Portland Trail Blazers,Golden State Warriors,POR,GSW,114.0,118.0,-4.0,0.0,128.0,120.0,8.0,1.0,2025-10-24
26,False,105,104,1,Sacramento Kings,Utah Jazz,SAC,UTA,116.0,120.0,-4.0,0.0,129.0,108.0,21.0,1.0,2025-10-24
27,False,129,102,1,LA Clippers,Phoenix Suns,LAC,PHX,108.0,129.0,-21.0,0.0,120.0,116.0,4.0,1.0,2025-10-24
28,False,98,110,0,Orlando Magic,Chicago Bulls,ORL,CHI,116.0,116.0,0.0,0.5,115.0,111.0,4.0,1.0,2025-10-25
29,False,100,117,0,Atlanta Hawks,Oklahoma City Thunder,ATL,OKC,114.5,122.5,-8.0,0.5,133.0,129.5,3.5,1.0,2025-10-25
30,False,125,121,1,Philadelphia 76ers,Charlotte Hornets,PHI,CHA,117.0,116.0,1.0,1.0,136.0,117.0,19.0,1.0,2025-10-25
31,False,128,103,1,Memphis Grizzlies,Indiana Pacers,MEM,IND,121.0,134.0,-13.0,0.5,135.0,141.0,-6.0,0.0,2025-10-25
32,False,133,111,1,Denver Nuggets,Phoenix Suns,DEN,PHX,131.0,137.0,-6.0,0.0,111.0,122.5,-11.5,0.5,2025-10-25
33,False,118,107,1,San Antonio Spurs,Brooklyn Nets,SAS,BKN,122.5,104.0,18.5,1.0,120.5,133.5,-13.0,0.0,2025-10-26
34,False,119,113,1,Detroit Pistons,Boston Celtics,DET,BOS,113.0,113.0,0.0,0.5,105.5,111.0,-5.5,0.0,2025-10-26
